n,nA,nB,pA,pB,log(pA/pB),pearson_chi,n1_chi,yates_chi,ex_val,ft2,blaker_val,how_1M,how_NM,Alpha = 0.05,Alpha = 0.01,Alpha = 0.001
200,92,108,0.0001,0.0001,0,1,1,1,1,1,1,1,1,0,0,0
200,103,97,0.000103045,0.0001,0.03,0.998295787,0.998300053,1,1,1,1,1,1,0,0,0
200,106,94,0.000109417,0.0001,0.09,0.994823723,0.99483668,1,1,1,1,1,1,0,0,0
200,98,102,0.000119722,0.0001,0.18,0.989376614,0.989403204,1,1,1,1,1,1,0,0,0
200,105,95,0.0005,0.0005,0,1,1,1,1,1,1,1,1,0,0,0
200,106,94,0.000515227,0.0005,0.03,0.99619451,0.996204035,1,1,1,1,1,1,0,0,0
200,108,92,0.000547087,0.0005,0.09,0.988444841,0.988473763,1,1,1,1,1,1,0,0,0
200,104,96,0.000598609,0.0005,0.18,0.97632098,0.976380234,1,1,1,1,1,1,0,0,0
200,98,102,0.001,0.001,0,1,1,1,1,1,1,1,1,0,0,0
200,91,109,0.001030455,0.001,0.03,0.994623005,0.994636464,1,1,1,1,1,1,0,0,0
200,88,112,0.001094174,0.001,0.09,0.983647387,0.983688314,1,1,1,1,1,0.999,0,0,0
200,110,90,0.001197217,0.001,0.18,0.96673857,0.96682178,1,1,1,1,0.999,1,0,0,0
200,121,79,0.03,0.03,0,1,1,1,1,1,1,0.999,0.994,0,0,0
200,97,103,0.030913636,0.03,0.03,0.970017398,0.970092413,1,1,1,1,0.956,0.967,0,0,0
200,96,104,0.032825229,0.03,0.09,0.908811719,0.909038983,1,1,1,1,0.865,0.886,0,0,0
200,102,98,0.035916521,0.03,0.18,0.8149148,0.815369723,1,1,1,1,0.796,0.807,0,0,0
2000,998,1002,0.0001,0.0001,0,1,1,1,1,1,1,0.999,1,0,0,0
2000,1003,997,0.000103045,0.0001,0.03,0.994607348,0.994608696,1,1,1,1,0.999,0.997,0,0,0
2000,989,1011,0.000109417,0.0001,0.09,0.983577503,0.983581608,1,1,1,1,0.999,0.994,0,0,0
2000,998,1002,0.000119722,0.0001,0.18,0.96643532,0.966443707,1,1,1,1,0.997,0.993,0,0,0
2000,1023,977,0.0005,0.0005,0,1,1,1,1,1,1,1,1,0,0,0
