Date,t,Confirmed,Recovered,Deceased,Mobility,
14-Mar-20,0,1,0,0,0.03,
15-Mar-20,1,0,0,0,0.01,
16-Mar-20,2,0,0,0,-0.01,
17-Mar-20,3,0,0,0,-0.01,
18-Mar-20,4,1,0,0,0.01,
19-Mar-20,5,0,0,1,0.01,
20-Mar-20,6,1,0,0,0.05,
21-Mar-20,7,10,0,0,0.07,
22-Mar-20,8,8,0,0,0.19,
23-Mar-20,9,2,0,0,0.2,
24-Mar-20,10,6,0,0,0.26,
25-Mar-20,11,2,0,0,0.29,
26-Mar-20,12,2,0,0,0.28,
27-Mar-20,13,5,1,0,0.29,
28-Mar-20,14,0,0,0,0.26,
29-Mar-20,15,0,0,0,0.2,
30-Mar-20,16,3,0,2,0.24,
31-Mar-20,17,1,0,1,0.24,
01-Apr-20,18,4,0,0,0.26,
02-Apr-20,19,1,0,1,0.28,
03-Apr-20,20,6,0,0,0.27,
04-Apr-20,21,12,2,0,0.26,
05-Apr-20,22,3,1,2,0.2,
06-Apr-20,23,11,0,0,0.25,
07-Apr-20,24,20,10,1,0.24,
08-Apr-20,25,7,0,1,0.27,
09-Apr-20,26,24,4,1,0.27,
10-Apr-20,27,21,2,1,0.29,
11-Apr-20,28,7,0,1,0.27,
12-Apr-20,29,12,3,0,0.2,
13-Apr-20,30,6,2,0,0.26,
14-Apr-20,31,8,2,1,0.25,
15-Apr-20,32,2,0,0,0.26,
16-Apr-20,33,11,2,1,0.26,
17-Apr-20,34,14,1,0,0.27,
18-Apr-20,35,23,1,2,0.25,
19-Apr-20,36,10,6,0,0.2,
20-Apr-20,37,1,1,0,0.25,
21-Apr-20,38,6,11,0,0.23,
22-Apr-20,39,27,4,0,0.25,
23-Apr-20,40,5,13,1,0.26,
24-Apr-20,41,15,4,0,0.27,
25-Apr-20,42,10,2,0,0.26,
26-Apr-20,43,14,12,1,0.2,
27-Apr-20,44,8,14,1,0.25,
28-Apr-20,45,12,3,0,0.23,
29-Apr-20,46,33,0,0,0.25,
30-Apr-20,47,21,3,1,0.26,
01-May-20,48,21,4,0,0.26,
02-May-20,49,38,4,0,0.24,
03-May-20,50,66,5,1,0.19,
04-May-20,51,26,11,2,0.22,
05-May-20,52,44,5,2,0.22,
06-May-20,53,15,2,2,0.23,
07-May-20,54,24,14,1,0.23,
08-May-20,55,17,3,1,0.22,
09-May-20,56,6,5,2,0.21,
10-May-20,57,12,9,0,0.16,
11-May-20,58,11,2,0,0.18,
12-May-20,59,37,3,1,0.18,
13-May-20,60,10,29,0,0.19,
14-May-20,61,11,23,0,0.18,
15-May-20,62,0,20,0,0.17,
16-May-20,63,14,225,0,0.16,
17-May-20,64,18,26,3,0.14,
18-May-20,65,16,43,2,0.14,
19-May-20,66,22,23,1,0.13,
20-May-20,67,3,36,0,0.15,
21-May-20,68,23,25,1,0.15,
22-May-20,69,1,28,0,0.15,
23-May-20,70,16,23,0,0.14,
24-May-20,71,15,28,1,0.12,
25-May-20,72,21,15,0,0.14,
26-May-20,73,25,5,0,0.12,
